filename,subregion_time,skip_time,num_makeup_region,num_subregion_with_annot,total_listen_time,num_extra_region,silence_time,num_surplus_region,surplus_time,makeup_time,extra_time,extra_time_hour,makeup_time_hour,surplus_time_hour,silence_time_hour,subregion_time_hour,skip_time_hour,skip_silence_overlap_hour,end_time_hour,total_listen_time_hour,silence_raw_hour,subregion_raw_hour,num_raw_subregion,subregions,positions,ranks,counts,removals
03_07_sparse_code.cha,0,24117960,0,0,21122300,0,25151650,0,0,0,0,0.0,0.0,0.0,6.99,0.0,6.7,3.55,16.0,5.87,6.99,0.0,0,[],[],[],"[0, 0, 0, 0, 0]","['', '', '', '', '']"
03_08_sparse_code.cha,14400000,2606210,1,4,13062740,1,325820,0,0,1156020,143560,0.04,0.32,0.0,0.09,4.0,0.72,0.08,16.0,3.63,7.83,5.0,5,"['Position: 1, Rank: 3', 'Position: 2, Rank: 2', 'Position: 3, Rank: 4', 'Position: 4, Rank: 1', 'Position: 5, Rank: 5']","['1', '2', '3', '4', '5']","['3', '2', '4', '1', '5']","[146, 193, 129, 36, 29]","['', '', '', '', 'Subregion removed for having a nested makeup or surplus region']"
03_09_sparse_code.cha,14400000,0,1,4,15098340,0,533480,0,0,1231820,0,0.0,0.34,0.0,0.15,4.0,0.0,0.0,16.0,4.19,5.95,5.0,5,"['Position: 1, Rank: 4', 'Position: 2, Rank: 1', 'Position: 3, Rank: 2', 'Position: 4, Rank: 3', 'Position: 5, Rank: 5']","['1', '2', '3', '4', '5']","['4', '1', '2', '3', '5']","[80, 14, 121, 71, 26]","['', '', '', '', 'Subregion removed for having a nested makeup or surplus region']"
03_10_sparse_code.cha,14399000,1247190,1,4,14412630,0,0,0,0,1260820,0,0.0,0.35,0.0,0.0,4.0,0.35,0.0,16.0,4.0,5.59,5.0,5,"['Position: 1, Rank: 2', 'Position: 2, Rank: 1', 'Position: 3, Rank: 5', 'Position: 4, Rank: 4', 'Position: 5, Rank: 3']","['1', '2', '3', '4', '5']","['2', '1', '5', '4', '3']","[124, 74, 14, 51, 54]","['', '', 'Subregion removed for having a nested makeup or surplus region', '', '']"
03_11_sparse_code.cha,14400000,202200,1,4,14996210,0,202200,0,0,798410,0,0.0,0.22,0.0,0.06,4.0,0.06,0.06,16.0,4.17,3.6,5.0,5,"['Position: 1, Rank: 1', 'Position: 2, Rank: 2', 'Position: 3, Rank: 5', 'Position: 4, Rank: 4', 'Position: 5, Rank: 3']","['1', '2', '3', '4', '5']","['1', '2', '5', '4', '3']","[61, 79, 5, 45, 99]","['', '', 'Subregion removed for having a nested makeup or surplus region', '', '']"
03_12_sparse_code.cha,14400000,2966540,1,4,14391500,0,0,0,0,2958040,0,0.0,0.82,0.0,0.0,4.0,0.82,0.0,16.0,4.0,1.53,5.0,5,"['Position: 1, Rank: 2', 'Position: 2, Rank: 3', 'Position: 3, Rank: 4', 'Position: 4, Rank: 1', 'Position: 5, Rank: 5']","['1', '2', '3', '4', '5']","['2', '3', '4', '1', '5']","[49, 18, 44, 93, 41]","['', '', '', '', 'Subregion removed for having a nested makeup or surplus region']"
03_13_sparse_code.cha,14400000,799980,1,4,13889810,0,0,0,0,289790,0,0.0,0.08,0.0,0.0,4.0,0.22,0.0,16.0,3.86,5.57,5.0,5,"['Position: 1, Rank: 5', 'Position: 2, Rank: 2', 'Position: 3, Rank: 3', 'Position: 4, Rank: 1', 'Position: 5, Rank: 4']","['1', '2', '3', '4', '5']","['5', '2', '3', '1', '4']","[15, 42, 15, 16, 21]","['Subregion removed for having a nested makeup or surplus region', '', '', '', '']"
03_14_sparse_code.cha,10799990,0,1,3,10801200,0,957360,0,0,958570,0,0.0,0.27,0.0,0.27,3.0,0.0,0.0,16.0,3.0,3.94,5.0,5,"['Position: 1, Rank: 2', 'Position: 2, Rank: 1', 'Position: 3, Rank: 4', 'Position: 4, Rank: 3', 'Position: 5, Rank: 5']","['1', '2', '3', '4', '5']","['2', '1', '4', '3', '5']","[45, 38, 7, 22, 0]","['', '', 'Subregion removed for having a nested makeup or surplus region', '', 'Subregion removed for not having any annotations']"
03_15_sparse_code.cha,10800000,0,0,3,10800000,0,0,0,0,0,0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,16.0,3.0,6.17,5.0,5,"['Position: 1, Rank: 1', 'Position: 2, Rank: 2', 'Position: 3, Rank: 5', 'Position: 4, Rank: 4', 'Position: 5, Rank: 3']","['1', '2', '3', '4', '5']","['1', '2', '5', '4', '3']","[66, 69, 0, 0, 62]","['', '', 'Subregion removed for not having any annotations', 'Subregion removed for not having any annotations', '']"
03_16_sparse_code.cha,10800000,0,0,3,10772300,0,27700,0,0,0,0,0.0,0.0,0.0,0.01,3.0,0.0,0.0,16.0,2.99,7.06,5.0,5,"['Position: 1, Rank: 5', 'Position: 2, Rank: 1', 'Position: 3, Rank: 4', 'Position: 4, Rank: 3', 'Position: 5, Rank: 2']","['1', '2', '3', '4', '5']","['5', '1', '4', '3', '2']","[0, 36, 0, 70, 96]","['Subregion removed for not having any annotations', '', 'Subregion removed for not having any annotations', '', '']"
03_17_sparse_code.cha,10800000,0,0,3,10800000,0,0,0,0,0,0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,16.0,3.0,5.55,5.0,5,"['Position: 1, Rank: 5', 'Position: 2, Rank: 2', 'Position: 3, Rank: 3', 'Position: 4, Rank: 4', 'Position: 5, Rank: 1']","['1', '2', '3', '4', '5']","['5', '2', '3', '4', '1']","[0, 80, 51, 0, 51]","['Subregion removed for not having any annotations', '', '', 'Subregion removed for not having any annotations', '']"
04_06_sparse_code.cha,0,4152680,0,0,25983350,0,12555400,0,0,0,0,0.0,0.0,0.0,3.49,0.0,1.15,0.0,11.86,7.22,3.49,0.0,0,[],[],[],"[0, 0, 0, 0, 0]","['', '', '', '', '']"
04_07_sparse_code.cha,0,2206240,0,0,34460380,0,8058490,0,0,0,0,0.0,0.0,0.0,2.24,0.0,0.61,0.0,12.42,9.57,2.24,0.0,0,[],[],[],"[0, 0, 0, 0, 0]","['', '', '', '', '']"
04_08_sparse_code.cha,14400000,1536810,1,4,16228660,4,0,0,0,2784970,580500,0.16,0.77,0.0,0.0,4.0,0.43,0.0,13.37,4.51,1.75,5.0,5,"['Position: 1, Rank: 4', 'Position: 2, Rank: 3', 'Position: 3, Rank: 1', 'Position: 4, Rank: 2', 'Position: 5, Rank: 5']","['1', '2', '3', '4', '5']","['4', '3', '1', '2', '5']","[94, 50, 90, 114, 21]","['', '', '', '', 'Subregion removed for having a nested makeup or surplus region']"
04_09_sparse_code.cha,14400000,524570,1,4,16889840,0,128850,0,0,3143260,0,0.0,0.87,0.0,0.04,4.0,0.15,0.0,10.71,4.69,2.6,5.0,5,"['Position: 1, Rank: 5', 'Position: 2, Rank: 1', 'Position: 3, Rank: 4', 'Position: 4, Rank: 3', 'Position: 5, Rank: 2']","['1', '2', '3', '4', '5']","['5', '1', '4', '3', '2']","[195, 161, 80, 71, 125]","['Subregion removed for having a nested makeup or surplus region', '', '', '', '']"
04_10_sparse_code.cha,14400000,0,1,4,17095810,0,763070,0,0,3458880,0,0.0,0.96,0.0,0.21,4.0,0.0,0.0,12.92,4.75,2.7,5.0,5,"['Position: 1, Rank: 1', 'Position: 2, Rank: 5', 'Position: 3, Rank: 4', 'Position: 4, Rank: 2', 'Position: 5, Rank: 3']","['1', '2', '3', '4', '5']","['1', '5', '4', '2', '3']","[146, 84, 91, 131, 57]","['', 'Subregion removed for having a nested makeup or surplus region', '', '', '']"
04_11_sparse_code.cha,14400000,0,0,4,14400000,0,0,0,0,0,0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,9.81,4.0,1.39,5.0,5,"['Position: 1, Rank: 1', 'Position: 2, Rank: 4', 'Position: 3, Rank: 5', 'Position: 4, Rank: 2', 'Position: 5, Rank: 3']","['1', '2', '3', '4', '5']","['1', '4', '5', '2', '3']","[197, 181, 0, 203, 195]","['', '', 'Subregion removed for not having any annotations', '', '']"
04_12_sparse_code.cha,14399000,0,0,4,14399000,0,0,0,0,0,0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,10.58,4.0,2.33,5.0,5,"['Position: 1, Rank: 2', 'Position: 2, Rank: 3', 'Position: 3, Rank: 5', 'Position: 4, Rank: 1', 'Position: 5, Rank: 4']","['1', '2', '3', '4', '5']","['2', '3', '5', '1', '4']","[67, 85, 0, 51, 29]","['', '', 'Subregion removed for not having any annotations', '', '']"
04_13_sparse_code.cha,14400000,1278370,1,4,14407310,0,0,0,0,1285680,0,0.0,0.36,0.0,0.0,4.0,0.36,0.0,11.07,4.0,2.88,5.0,5,"['Position: 1, Rank: 5', 'Position: 2, Rank: 4', 'Position: 3, Rank: 2', 'Position: 4, Rank: 1', 'Position: 5, Rank: 3']","['1', '2', '3', '4', '5']","['5', '4', '2', '1', '3']","[27, 78, 82, 53, 86]","['Subregion removed for having a nested makeup or surplus region', '', '', '', '']"
04_14_sparse_code.cha,10800000,0,1,3,10802860,0,0,0,0,2860,0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,12.49,3.0,2.99,5.0,5,"['Position: 1, Rank: 4', 'Position: 2, Rank: 2', 'Position: 3, Rank: 5', 'Position: 4, Rank: 1', 'Position: 5, Rank: 3']","['1', '2', '3', '4', '5']","['4', '2', '5', '1', '3']","[0, 208, 2, 108, 134]","['Subregion removed for not having any annotations', '', 'Subregion removed for having a nested makeup or surplus region', '', '']"
04_15_sparse_code.cha,10800000,0,0,3,10800000,0,0,0,0,0,0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,12.8,3.0,4.18,5.0,5,"['Position: 1, Rank: 1', 'Position: 2, Rank: 3', 'Position: 3, Rank: 4', 'Position: 4, Rank: 5', 'Position: 5, Rank: 2']","['1', '2', '3', '4', '5']","['1', '3', '4', '5', '2']","[92, 11, 0, 0, 70]","['', '', 'Subregion removed for not having any annotations', 'Subregion removed for not having any annotations', '']"
04_16_sparse_code.cha,10800000,0,0,3,10800000,0,0,0,0,0,0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,10.91,3.0,1.91,5.0,5,"['Position: 1, Rank: 4', 'Position: 2, Rank: 2', 'Position: 3, Rank: 1', 'Position: 4, Rank: 5', 'Position: 5, Rank: 3']","['1', '2', '3', '4', '5']","['4', '2', '1', '5', '3']","[0, 46, 87, 0, 45]","['Subregion removed for not having any annotations', '', '', 'Subregion removed for not having any annotations', '']"
04_17_sparse_code.cha,10800000,0,0,3,10800000,0,0,0,0,0,0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,11.62,3.0,0.0,5.0,5,"['Position: 1, Rank: 5', 'Position: 2, Rank: 1', 'Position: 3, Rank: 2', 'Position: 4, Rank: 3', 'Position: 5, Rank: 4']","['1', '2', '3', '4', '5']","['5', '1', '2', '3', '4']","[0, 38, 175, 16, 0]","['Subregion removed for not having any annotations', '', '', '', 'Subregion removed for not having any annotations']"
06_06_sparse_code.cha,0,0,0,0,33729560,0,7168930,0,0,0,0,0.0,0.0,0.0,1.99,0.0,0.0,0.0,11.36,9.37,1.99,0.0,0,[],[],[],"[0, 0, 0, 0, 0]","['', '', '', '', '']"
06_07_sparse_code.cha,0,0,0,0,24602670,0,32997320,0,0,0,0,0.0,0.0,0.0,9.17,0.0,0.0,0.0,16.0,6.83,9.17,0.0,0,[],[],[],"[0, 0, 0, 0, 0]","['', '', '', '', '']"
