filename,1,2,3,4,5,total,outside
21_06_sparse_code.cha,0,0,0,0,0,717,717
21_07_sparse_code.cha,0,0,0,0,0,622,622
21_08_sparse_code.cha,29,39,9,0,79,156,0
21_09_sparse_code.cha,10,54,47,0,7,119,1
21_10_sparse_code.cha,84,5,24,74,56,243,0
21_11_sparse_code.cha,20,38,44,0,24,126,0
21_12_sparse_code.cha,79,0,95,66,73,313,0
21_13_sparse_code.cha,152,79,0,101,103,435,0
21_14_sparse_code.cha,61,13,83,0,0,157,0
21_15_sparse_code.cha,0,60,53,0,32,145,0
21_16_sparse_code.cha,0,55,0,23,38,116,0
21_17_sparse_code.cha,0,95,209,45,0,349,0
22_06_sparse_code.cha,0,0,0,0,0,307,307
22_07_sparse_code.cha,0,0,0,0,0,410,410
22_08_sparse_code.cha,89,35,13,21,16,216,0
22_10_sparse_code.cha,2,24,9,12,41,88,0
22_11_sparse_code.cha,32,24,11,25,51,143,0
22_12_sparse_code.cha,27,53,31,13,49,173,0
22_13_sparse_code.cha,70,41,0,32,107,258,0
22_14_sparse_code.cha,20,41,0,0,57,118,0
22_15_sparse_code.cha,23,24,0,23,43,113,0
22_16_sparse_code.cha,56,75,0,0,65,196,0
22_17_sparse_code.cha,91,0,0,89,73,253,0
23_06_sparse_code.cha,0,0,0,0,0,575,575
23_07_sparse_code.cha,0,0,0,0,0,345,345
23_08_sparse_code.cha,120,0,34,96,44,294,0
23_09_sparse_code.cha,74,49,10,11,28,172,0
23_10_sparse_code.cha,9,9,0,23,50,91,0
23_11_sparse_code.cha,112,70,103,0,97,385,3
23_12_sparse_code.cha,48,89,13,30,1,355,174
23_13_sparse_code.cha,0,52,58,38,73,221,0
23_14_sparse_code.cha,0,16,75,0,36,127,0
23_15_sparse_code.cha,38,15,0,0,24,77,0
23_16_sparse_code.cha,32,0,21,0,58,111,0
23_17_sparse_code.cha,11,16,10,3,0,41,0
25_06_sparse_code.cha,0,0,0,0,0,903,903
25_07_sparse_code.cha,0,0,0,0,0,221,221
25_08_sparse_code.cha,46,11,11,1,0,69,0
25_09_sparse_code.cha,40,14,37,60,54,205,0
25_10_sparse_code.cha,41,1,4,46,0,92,0
25_11_sparse_code.cha,0,82,27,29,29,167,0
25_12_sparse_code.cha,44,6,6,8,9,90,0
25_13_sparse_code.cha,57,21,70,30,90,268,0
25_14_sparse_code.cha,0,104,84,68,0,256,0
25_15_sparse_code.cha,0,14,7,0,10,31,0
25_16_sparse_code.cha,0,0,72,8,31,111,0
25_17_sparse_code.cha,118,0,66,28,0,212,0
26_06_sparse_code.cha,0,0,0,0,0,408,408
26_07_sparse_code.cha,0,0,0,0,0,606,606
26_08_sparse_code.cha,46,41,40,41,36,215,1
26_09_sparse_code.cha,0,81,47,49,11,188,0
26_10_sparse_code.cha,82,44,24,72,5,227,0
26_11_sparse_code.cha,5,31,75,89,91,291,0
26_12_sparse_code.cha,51,34,10,34,0,129,0
26_13_sparse_code.cha,87,0,71,115,84,357,0
26_14_sparse_code.cha,0,33,45,81,0,159,0
26_15_sparse_code.cha,0,43,117,49,18,227,0
26_16_sparse_code.cha,130,91,0,62,0,283,0
26_17_sparse_code.cha,0,50,101,39,0,190,0
27_06_sparse_code.cha,0,0,0,0,0,845,845
27_07_sparse_code.cha,0,0,0,0,0,1505,1505
27_08_sparse_code.cha,175,110,57,0,106,448,0
27_09_sparse_code.cha,81,27,149,50,101,408,0
27_10_sparse_code.cha,119,107,36,34,309,605,0
27_11_sparse_code.cha,0,198,53,26,176,453,0
27_12_sparse_code.cha,124,261,123,153,10,671,0
27_13_sparse_code.cha,277,33,216,222,188,936,0
27_14_sparse_code.cha,667,152,230,0,0,1049,0
27_15_sparse_code.cha,0,214,183,0,78,475,0
27_16_sparse_code.cha,55,0,208,241,133,637,0
27_17_sparse_code.cha,0,0,203,96,256,555,0
28_06_sparse_code.cha,0,0,0,0,0,405,405
28_07_sparse_code.cha,0,0,0,0,0,660,660
28_08_sparse_code.cha,130,0,35,227,57,449,0
28_09_sparse_code.cha,97,26,82,55,84,344,0
28_10_sparse_code.cha,107,134,18,33,65,357,0
28_11_sparse_code.cha,47,0,35,93,84,259,0
28_12_sparse_code.cha,123,97,27,0,187,434,0
28_13_sparse_code.cha,144,0,48,86,35,313,0
28_14_sparse_code.cha,68,0,478,0,103,649,0
28_15_sparse_code.cha,0,166,0,54,96,316,0
28_16_sparse_code.cha,97,71,0,0,162,330,0
28_17_sparse_code.cha,39,0,77,85,0,201,0
29_06_sparse_code.cha,0,0,0,0,0,1195,1195
29_07_sparse_code.cha,0,0,0,0,0,1531,1531
29_08_sparse_code.cha,192,229,0,164,193,778,0
29_09_sparse_code.cha,84,0,80,102,59,325,0
29_10_sparse_code.cha,92,99,60,0,116,367,0
29_11_sparse_code.cha,181,70,121,282,0,654,0
29_12_sparse_code.cha,179,210,156,80,0,625,0
29_13_sparse_code.cha,134,165,155,0,121,575,0
