Filename,subj,month,subreg_tot_ms,makeup_tot_ms,extra_tot_ms,sil_tot_ms,skip_tot_ms,num_subreg_annots,num_extra_subreg,num_makeup_subreg,total_listen_ms,total_listen_hr
38_11_sparse_code.cha,38,11,14400000,0,0,82050,0,4,0,0,14317950,3.977208333
15_12_sparse_code.cha,15,12,14400000,1834530,0,1882660,0,4,0,1,14351870,3.986630556
17_14_sparse_code.cha,17,14,10800000,0,0,0,0,3,0,0,10800000,3
17_15_sparse_code.cha,17,15,10800000,0,0,0,0,3,0,0,10800000,3
17_16_sparse_code.cha,17,16,10800000,0,0,0,0,3,0,0,10800000,3
17_17_sparse_code.cha,17,17,10800000,0,0,0,0,3,0,0,10800000,3
06_06_sparse_code.cha,6,6,0,0,0,7168930,0,0,0,0,33729560,9.369322222
14_07_sparse_code.cha,14,7,0,0,0,23814830,56507880,0,0,0,33785160,9.384766667
14_09_sparse_code.cha,14,9,14400000,0,0,46210,0,4,0,0,14353790,3.987163889
36_11_sparse_code.cha,36,11,14400000,0,0,43305,0,4,0,0,14356695,3.987970833
11_13_sparse_code.cha,11,13,14400000,601200,0,0,642160,4,0,1,14359040,3.988622222
39_12_sparse_code.cha,39,12,14399000,0,0,27970,0,4,0,0,14371030,3.991952778
37_10_sparse_code.cha,37,10,14400000,0,0,27200,0,4,0,0,14372800,3.992444444
30_10_sparse_code.cha,30,10,14400000,0,0,24790,0,4,0,0,14375210,3.993113889
18_14_sparse_code.cha,18,14,10800000,0,0,0,0,3,0,0,10800000,3
18_15_sparse_code.cha,18,15,10800000,1814380,0,0,0,3,0,1,12614380,3.503994444
18_16_sparse_code.cha,18,16,10800000,0,0,0,0,3,0,0,10800000,3
18_17_sparse_code.cha,18,17,10799000,0,0,0,0,3,0,0,10799000,2.999722222
46_07_sparse_code.cha,46,7,0,0,0,4556210,2831140,0,0,0,33994030,9.442786111
35_07_sparse_code.cha,35,7,0,0,0,8415710,1521250,0,0,0,34012900,9.448027778
30_09_sparse_code.cha,30,9,14399999,2285070,0,1652470,656180,4,0,1,14376419,3.993449722
06_11_sparse_code.cha,6,11,14400000,422340,0,0,445680,4,0,1,14376660,3.993516667
15_11_sparse_code.cha,15,11,14400000,0,0,18460,0,4,0,0,14381540,3.994872222
14_13_sparse_code.cha,14,13,14400000,0,0,8900,8900,4,0,0,14382200,3.995055556
12_09_sparse_code.cha,12,9,14400000,0,711450,203990,522610,4,1,0,14384850,3.995791667
16_11_sparse_code.cha,16,11,14400000,0,0,14182,0,4,0,0,14385818,3.996060556
19_14_sparse_code.cha,19,14,10800000,0,0,0,0,3,0,0,10800000,3
19_15_sparse_code.cha,19,15,10800000,0,0,0,0,3,0,0,10800000,3
19_16_sparse_code.cha,19,16,10800000,0,0,0,0,3,0,0,10800000,3
19_17_sparse_code.cha,19,17,10800000,0,0,0,0,3,0,0,10800000,3
18_07_sparse_code.cha,18,7,0,0,0,11331530,0,0,0,0,34399150,9.555319444
31_07_sparse_code.cha,31,7,0,0,0,22957440,2172560,0,0,0,34642550,9.622930556
09_12_sparse_code.cha,9,12,14400000,1512630,3599970,2488920,2633540,4,2,1,14390140,3.997261111
03_12_sparse_code.cha,3,12,14400000,2958040,0,0,2966540,4,0,1,14391500,3.997638889
11_08_sparse_code.cha,11,8,14400000,961560,0,969740,0,4,0,1,14391820,3.997727778
18_09_sparse_code.cha,18,9,14400000,1287090,0,0,1293630,4,0,1,14393460,3.998183333
21_10_sparse_code.cha,21,10,14400000,1620460,0,0,1626560,4,0,1,14393900,3.998305556
18_12_sparse_code.cha,18,12,14400000,0,0,5270,0,4,0,0,14394730,3.998536111
20_14_sparse_code.cha,20,14,10800000,0,0,0,0,3,0,0,10800000,3
20_15_sparse_code.cha,20,15,10799000,0,0,0,0,3,0,0,10799000,2.999722222
20_16_sparse_code.cha,20,16,10800000,0,0,0,0,3,0,0,10800000,3
20_17_sparse_code.cha,20,17,10800000,0,0,0,0,3,0,0,10800000,3
11_07_sparse_code.cha,11,7,0,0,0,10095750,0,0,0,0,34809860,9.669405556
01_07_sparse_code.cha,1,7,0,0,0,22274360,737060,0,0,0,35325630,9.812675
27_09_sparse_code.cha,27,9,14400000,991410,0,996500,0,4,0,1,14394910,3.998586111
11_10_sparse_code.cha,11,10,14400000,1732760,0,0,1735150,4,0,1,14397610,3.999336111
45_13_sparse_code.cha,45,13,14399000,0,0,0,0,4,0,0,14399000,3.999722222
07_10_sparse_code.cha,7,10,14399200,0,0,0,0,4,0,0,14399200,3.999777778
11_12_sparse_code.cha,11,12,14400000,1685070,0,1685560,0,4,0,1,14399510,3.999863889
13_08_sparse_code.cha,13,8,14400000,0,0,360,0,4,0,0,14399640,3.9999
21_14_sparse_code.cha,21,14,10800000,645140,0,0,648910,3,0,1,10796230,2.998952778
21_15_sparse_code.cha,21,15,10800000,0,0,0,0,3,0,0,10800000,3
21_16_sparse_code.cha,21,16,10800000,0,0,0,0,3,0,0,10800000,3
21_17_sparse_code.cha,21,17,10800000,0,0,0,0,3,0,0,10800000,3
19_07_sparse_code.cha,19,7,0,0,0,3703520,8311410,0,0,0,35661660,9.906016667
23_06_sparse_code.cha,23,6,0,0,0,21760120,0,0,0,0,35839870,9.955519444
14_08_sparse_code.cha,14,8,14400000,322590,0,0,322650,4,0,1,14399940,3.999983333
14_12_sparse_code.cha,14,12,14399990,0,0,0,0,4,0,0,14399990,3.999997222
29_12_sparse_code.cha,29,12,14399990,0,0,0,0,4,0,0,14399990,3.999997222
35_10_sparse_code.cha,35,10,14399990,0,0,0,0,4,0,0,14399990,3.999997222
37_08_sparse_code.cha,37,8,14399990,0,0,0,0,4,0,0,14399990,3.999997222
22_14_sparse_code.cha,22,14,10800000,0,0,0,0,3,0,0,10800000,3
22_15_sparse_code.cha,22,15,10800000,2108600,0,2109210,0,3,0,1,10799390,2.999830556
